_id,City,Clinic,Address,Postal code,Phone Number
32,Huntsville,Muskoka Algonquin Healthcare Diabetes - Huntsville Site,100 Frank Miller Drive,P1H 1H7,"<a href=""tel:+17057892311"">705-789-2311</a>"
33,Kapuskasing,Centre De Diabete De Kapuskasing Diabetes Centre,27 Kolb Avenue,P5N 1G2,"<a href=""tel:+17053712016"">705-371-2016</a>"
34,Kawartha Lakes,Ross Memorial Hospital,10 Angeline Street North,K9V 4M8,"<a href=""tel:+17053286091"">705-328-6091</a>"
35,Kingston,Hotel Dieu Hospital  Diabetes Education & Management Centre,166 Brock Street,K7L 5G2,"<a href=""tel:+16135443400"">613-544-3400</a>"
36,Kitchener,Adult Diabetes Centre,835 King Street West,N2G 1G3,"<a href=""tel:+15197494300"">519-749-4300</a>"
37,London,LMC Diabetes & Endocrinology - London,410 - 140 Oxford Street East,N6A 5R9,"<a href=""tel:+12266800802"">226-680-0802</a>"
38,London,"St. Joseph's Health Care London, Diabetes Education Centre",268 Grosvenor Street,N6A 4V2,"<a href=""tel:+15196466000"">519-646-6000</a>"
39,Markham,Adult Diabetes Clinic,308 - 379 Church Street,L6B 0T1,"<a href=""tel:+19054727373"">905-472-7373</a>"
40,Markham,Diabetes & Endocrinology Centre,1 - 8 Shadlock Street,L3S 3K9,"<a href=""tel:+14165995499"">416-599-5499</a>"
41,Markham,LMC Diabetes & Endocrinology,200 - 110 Copper Creek Drive,L6B 0P9,"<a href=""tel:+19052940800"">905-294-0800</a>"
42,Minto,North Wellington Health Care Alliance,500 Whites Road,N0G 2P0,"<a href=""tel:+15193233333"">519-323-3333</a>"
43,Mississauga,The Credit Valley Hospital Diabetes Care,2200 Eglinton Ave West,L5M 2N1,"<a href=""tel:+19058131100"">905-813-1100</a>"
44,Mississauga,The Mississauga Hospital Diabetes Management Centre,100 Queensway West,L5B 1B8,"<a href=""tel:+19058487545"">905-848-7545</a>"
45,Newmarket,Southlake Regional Health Centre - Diabetes Education Centre,596 Davis Drive,L3Y 2P9,"<a href=""tel:+19058954521"">905-895-4521</a>"
46,North Bay,Diabetes Education Centre,Suite 200 -1164 Devonshire Ave,P1B 6X7,"<a href=""tel:+17054726111"">705-472-6111</a>"
47,Oakville,Halton Healthcare,3001 Hospital Gate,L6M 0L8,"<a href=""tel:+19053384437"">905-338-4437</a>"
48,Oakville,LMC Diabetes & Endocrinology,301 - 3075 Hospital Gate,L6M 1M1,"<a href=""tel:+19053370040"">905-337-0040</a>"
49,Orangeville,Headwaters Health Care Diabetes Program,100 Rolling Hills Drive,L9W 4X9,"<a href=""tel:+15199412702"">519-941-2702</a>"
50,Orillia,Diabetes Education Centre,Orillia Soldiers' Memorial Centre,L3V 3C8,"<a href=""tel:+17053257611"">705-325-7611</a>"
51,Ottawa,Endocrine And Diabetes Centre,4th Floor - 1967 Riverside Drive,K1H 8M2,"<a href=""tel:+16137388333"">613-738-8333</a>"
52,Ottawa,LMC Diabetes & Endocrinology,208 - 4100 Strandherd Drive,K2J 0V2,"<a href=""tel:+16135059704"">613-505-9704</a>"
53,Ottawa,Queensway Carleton Hospital,3045 Baseline Road,K2H 8P4,"<a href=""tel:+16137214700"">613-721-4700</a>"
54,Ottawa,Rideau Valley Health Center,1221 Greenbank Road,K2J 5V7,"<a href=""tel:+16132588716"">613-258-8716</a>"
55,Owen Sound,Grey Bruce Health Services,1800 8th Street,N4K 6M9,"<a href=""tel:+15193762121"">519-376-2121</a>"
56,Pembroke,Diabetes Education Centre,705 Mackay Street,K8A 1G8,"<a href=""tel:+16137322811"">613-732-2811</a>"
57,Peterborough,Adult Diabetes Centre,"1 Hospital Drive, Room W4920",K9J 7C6,"<a href=""tel:+17057408324"">705-740-8324</a>"
58,Peterborough,Pediatric Diabetes Centre,"1 Hospital Drive, Room W6608",K9J 7C6,"<a href=""tel:+17057408055"">705-740-8055</a>"
59,Port Hope,Port Hope Northumberland Community Health Centre,99 Toronto Road,L1A 3S4,"<a href=""tel:+19058852626"">905-885-2626</a>"
60,Renfrew,Diabetes Education Program,499 Raglan Street North,K7V 1P6,"<a href=""tel:+16134324851"">613-432-4851</a>"
61,Sarnia,Bluewater Health - Diabetes & Clinical Nutrition Services,89 Norman Street,N7T 6S3,"<a href=""tel:+15194644400"">519-464-4400</a>"
62,Sault Ste Marie,Algoma Diabetes Education & Care Program,83 Willow Avenue,P6B 5B1,"<a href=""tel:+17055412670"">705-541-2670</a>"
63,Smiths Falls,Dr. James Conway Diabetes Clinic,218 Percy Street,K7A 4W8,"<a href=""tel:+16132840145"">613-284-0145</a>"
64,St. Thomas,Diabetes Education Centre,St. Thomas Elgin General Hospital,N5R 5C4,"<a href=""tel:+15196312030"">519-631-2030</a>"
65,Stratford,Stratford Huron Perth Diabetes Program,46 General Hospital Drive,N5A 2Y6,"<a href=""tel:+15192728210"">519-272-8210</a>"
66,Thornhill,LMC Diabetes & Endocrinology,17 - 531 Atkinson Avenue,L4J 8L7,"<a href=""tel:+19057638660"">905-763-8660</a>"
67,Thunder Bay,Diabetes Health Thunder Bay,St Joseph's Heritage,P7A 4J2,"<a href=""tel:+18073443422"">807-344-3422</a>"
68,Timmins,Von Diabetes Education Centre,139 - 38 Pine Street North,P4N 6K6,"<a href=""tel:+17052678444"">705-267-8444</a>"
69,Toronto,Centre For Integrated Diabetes Care,Women's College Hospital,M5S 1B2,"<a href=""tel:+14163236013"">416-323-6013</a>"
70,Toronto,Etobicoke Diabetes Education Centre,224 - 89 Humber College Boulevard,M9V 4B8,"<a href=""tel:+14167473400"">416-747-3400</a>"
71,Toronto,Leadership Sinai Centre For Diabetes,60 Murray Street,M5T 3L9,"<a href=""tel:+14165864800"">416-586-4800</a>"
72,Toronto,LMC Diabetes & Endocrinology,2B - 1723 Kipling Avenue,M9R 4E1,"<a href=""tel:+14166451035"">416-645-1035</a>"
73,Toronto,LMC Diabetes & Endocrinology,107 - 1929 Bayview Avenue,M4G 3E8,"<a href=""tel:+14166452929"">416-645-2929</a>"
74,Toronto,LMC Diabetes & Endocrinology,G125 - 520 Ellesmere Road,M1R 0B1,"<a href=""tel:+19052940800"">905-294-0800</a>"
75,Toronto,LMC Diabetes & Endocrinology - Downtown Toronto,1500 - 123 Edward Street,M5G 1E2,"<a href=""tel:+18667013636"">866-701-3636</a>"
76,Toronto,Nygh Diabetes Education Centre,E7 - 2 Champagne Drive,M3J 0K2,"<a href=""tel:+14167566924"">416-756-6924</a>"
77,Toronto,Rouge Valley Health System Centenary,2867 Ellesmere Road,M1E 4B9,"<a href=""tel:+14162817375"">416-281-7375</a>"
78,Toronto,St Michael'S Centre For Diabetes,7015 - 61 Queen Street East,M5C 2T2,"<a href=""tel:+14168677436"">416-867-7436</a>"
79,Toronto,St. Joseph'S Health Centre Diabetes Management & Education Clinic,30 The Queensway,M6R 1B5,"<a href=""tel:+14165306000"">416-530-6000</a>"
80,Toronto,Sunnybrook Health Sciences Centre,2075 Bayview Avenue,M4N 3M5,"<a href=""tel:+14164804805"">416-480-4805</a>"
81,Toronto,The Scarborough Hospital Diabetes Clinic,3030 Birchmount Road,M1W 3W3,"<a href=""tel:+14164952400"">416-495-2400</a>"
82,Toronto,Toronto East Health Network - Michael Garron Hospital Diabetes Clinic,D105 - 825 Coxwell Avenue,M4C 3E7,"<a href=""tel:+14164696580"">416-469-6580</a>"
83,Toronto,Toronto General Hospital,200 Elizabeth Street,M5G 2N2,"<a href=""tel:+14163403536"">416-340-3536</a>"
84,Vaughan,Mackenzie Health Diabetes Education Centre,340 - 955 Major Mackenzie Drive West,L6A 4P9,"<a href=""tel:+19058328070"">905-832-8070</a>"
85,Welland,Niagara Health System,65 Third Street,L3B 4W6,"<a href=""tel:+19056824200"">905-682-4200</a>"
86,Whitby,Charles H. Best Diabetes Centre,360 Columbus Road East,L1M 1Z5,"<a href=""tel:+19056200360"">905-620-0360</a>"
87,Windsor,Diabetes Insight Centre,101 - 1361 Ouellette Avenue,N8X 1J6,"<a href=""tel:+15199972823"">519-997-2823</a>"
88,Windsor,Diabetes Wellness,107 - 2885 Lauzon Parkway,N8T 3H5,"<a href=""tel:+15199972823"">519-997-2823</a>"
89,Windsor,Windsor Regional Endocrinology Clinic,1995 Lens Avenue,N4W 1L9,"<a href=""tel:+15192545577"">519-254-5577</a>"
90,Woodstock,Diabetes Education Centre,310 Juliana Drive,N4V 0A4,"<a href=""tel:+15194214233"">519-421-4233</a>"
